,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,,
,"WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 YEAR 2000 POPULATION AND FEMALES AGES 15-44",,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,"VIRGINIA, 2001","VIRGINIA, 2001","VIRGINIA, 2001","VIRGINIA, 2001",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
COMMONWEALTH OF VIRGINIA,"96,535","67,043","22,091","7,401","98,531","68,859","22,000","7,672",13.9,12.9,15.3,24.3,62.0,59.7,62.8,89.5
PLANNING DISTRICT 1,767,762,2,3,"1,000",991,5,4,11.0,11.1,3.9,9.9,53.9,54.4,21.2,42.6
LEE COUNTY,3,3,,,240,238,,2,10.2,10.2,,19.8,51.4,51.5,,71.4
