,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RAC,,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-4",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,,
,,,,,"VIRGINIA, 2000","VIRGINIA, 2000","VIRGINIA, 2000",,,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
COMMONWEALTH OF VIRGINIA,"96,759","67,232","22,302","7,225","98,864","69,090","22,298","7,476",14.0,13.5,16.0,13.2,62.2,62.7,65.7,50.8
PLANNING DISTRICT 1,813,801,5,7,"1,057","1,041",8,8,11.6,11.7,6.7,7.3,57.0,57.5,36.9,36.5
LEE COUNTY,60,60,,,237,234,,3,10.0,10.1,,11.3,50.8,50.9,,54.5
SCOTT COUNTY,,,,,248,246,2,,10.6,10.7,14.4,,55.6,55.9,90.9,
WISE COUNTY,270,264,4,2,510,500,5,5,12.7,12.9,7.0,9.3,59.5,59.9,41.0,44.2
NORTON CITY,483,477,1,5,62,61,1,,15.9,17.1,4.2,,72.9,78.3,18.2,
PLANNING DISTRICT 2,453,451,,2,"1,098","1,082",12,4,9.3,9.5,4.4,3.3,45.9,46.2,43.5,17.2
BUCHANAN COUNTY,2,2,,,259,258,,1,9.6,9.9,,5.9,46.6,46.9,,45.5
DICKENSON COUNTY,1,1,,,143,143,,,8.7,8.8,,,42.3,42.7,,
RUSSELL COUNTY,,,,,275,273,2,,9.1,9.4,2.1,,45.4,45.6,66.7,
TAZEWELL COUNTY,450,448,,2,421,408,10,3,9.4,9.5,9.8,4.3,47.1,47.5,50.3,20.7
PLANNING DISTRICT 3,"1,705","1,660",34,11,"2,021","1,954",52,15,10.6,10.7,10.2,5.0,54.3,54.7,60.3,24.5
BLAND COUNTY,2,2,,,63,60,3,,9.2,9.2,10.4,,53.5,52.0,333.3,
CARROLL COUNTY,2,1,,1,259,258,,1,8.9,9.0,,2.2,46.8,47.5,,12.0
GRAYSON COUNTY,,,,,172,164,8,,9.6,10.0,6.6,,55.5,55.1,123.1,
SMYTH COUNTY,298,288,4,6,361,352,4,5,10.9,11.0,6.5,11.9,55.3,55.8,25.5,74.6
WASHINGTON COUNTY,736,728,7,1,492,482,7,3,9.6,9.7,10.4,5.2,47.2,47.4,51.1,24.4
WYTHE COUNTY,240,229,9,2,336,320,12,4,12.2,12.1,15.2,10.6,59.3,58.9,76.4,54.8
BRISTOL CITY,1,1,,,211,199,11,1,12.1,12.4,11.4,3.0,60.4,62.3,50.2,12.7
GALAX CITY,426,411,14,1,127,119,7,1,18.6,20.2,16.4,1.9,97.8,109.6,70.0,8.9
PLANNING DISTRICT 4,"1,763","1,621",68,74,"1,804","1,655",71,78,10.9,10.9,10.4,11.3,44.4,45.0,38.6,37.9
FLOYD COUNTY,8,8,,,158,155,1,2,11.4,11.6,3.6,11.2,61.5,62.4,21.3,52.6
GILES COUNTY,5,5,,,254,251,2,1,15.2,15.5,7.6,6.0,79.5,80.4,55.6,27.0
MONTGOMERY COUNTY,"1,506","1,384",53,69,822,729,32,61,9.8,9.7,10.5,11.5,36.6,36.6,35.2,36.9
PULASKI COUNTY,244,224,15,5,411,382,23,6,11.7,11.7,11.8,9.4,61.3,61.3,64.4,52.2
RADFORD CITY,,,,,159,138,13,8,10.0,9.9,10.1,13.7,27.8,27.5,26.5,37.4
PLANNING DISTRICT 5,"4,090","3,445",541,104,"3,135","2,551",491,93,11.9,11.4,15.1,11.9,58.1,56.8,67.6,52.2
ALLEGHANY COUNTY,284,250,34,,122,116,6,,9.4,9.3,18.9,,51.3,50.4,111.1,
BOTETOURT COUNTY,,,,,312,293,10,9,10.2,10.1,9.3,18.8,53.7,52.6,64.9,95.7
CRAIG COUNTY,1,1,,,58,57,,1,11.4,11.3,,22.7,60.7,60.4,,83.3
ROANOKE COUNTY,3,3,,,890,837,29,24,10.4,10.4,10.1,9.3,52.1,52.8,46.8,38.0
CLIFTON FORGE CITY,,,,,67,54,13,,15.6,15.2,20.7,,82.9,81.4,106.6,
COVINGTON CITY,,,,,90,76,14,,14.3,14.3,16.9,,76.5,76.1,93.3,
ROANOKE CITY,"2,807","2,307",433,67,"1,356",908,397,51,14.3,13.8,15.6,13.8,66.7,66.4,68.0,61.5
SALEM CITY,995,884,74,37,240,210,22,8,9.7,9.2,15.1,14.4,44.7,42.9,67.5,57.1
PLANNING DISTRICT 6,"3,061","2,898",129,34,"2,953","2,772",138,43,11.4,11.7,10.7,5.3,51.4,52.8,49.0,20.2
AUGUSTA COUNTY,"1,061",982,66,13,680,663,13,4,10.4,10.6,5.5,4.4,52.7,53.4,43.9,20.2
BATH COUNTY,1,1,,,44,42,1,1,8.7,9.0,3.2,13.9,48.1,49.4,20.0,71.4
HIGHLAND COUNTY,,,,,14,14,,,5.5,5.6,,,34.5,34.7,,
ROCKBRIDGE COUNTY,3,3,,,170,166,2,2,8.2,8.4,3.2,6.0,42.6,43.5,19.6,26.7
ROCKINGHAM COUNTY,15,15,,,860,844,13,3,12.7,12.9,14.1,2.2,61.5,62.5,67.7,9.9
BUENA VISTA CITY,,,,,94,88,4,2,14.8,14.8,13.1,19.2,70.0,70.5,54.1,105.3
HARRISONBURG CITY,"1,753","1,685",50,18,449,402,32,15,11.1,11.7,13.4,4.0,33.1,34.4,43.0,13.0
LEXINGTON CITY,225,209,13,3,82,72,9,1,11.9,12.2,12.6,4.0,57.6,59.4,64.3,14.1
STAUNTON CITY,1,1,,,263,222,37,4,11.0,11.2,11.1,6.1,52.7,54.4,50.3,23.7
WAYNESBORO CITY,2,2,,,297,259,27,11,15.2,15.3,13.9,15.8,75.6,78.0,55.9,88.7
PLANNING DISTRICT 7,"2,463","2,262",99,102,"2,375","2,182",96,97,12.8,12.7,13.1,17.0,61.8,61.1,65.8,76.7
CLARKE COUNTY,,,,,112,96,6,10,8.9,8.3,7.0,37.3,46.7,43.7,43.2,163.9
FREDERICK COUNTY,1,1,,,837,784,28,25,14.1,13.9,18.1,17.6,65.5,64.4,90.9,84.7
PAGE COUNTY,3,2,1,,266,265,1,,11.5,11.9,2.0,,58.0,59.8,12.8,
SHENANDOAH COUNTY,248,240,3,5,399,389,2,8,11.4,11.6,4.9,7.1,60.3,61.7,31.3,32.1
WARREN COUNTY,133,116,10,7,426,394,23,9,13.5,13.5,15.1,11.6,64.0,63.8,73.2,55.2
WINCHESTER CITY,"2,078","1,903",85,90,335,254,36,45,14.2,13.1,14.6,25.6,61.9,57.3,64.6,106.9
PLANNING DISTRICT 8,"29,249","21,134","3,804","4,311","29,882","21,681","3,648","4,553",16.5,17.0,18.1,13.5,69.1,75.1,66.8,50.9
