,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,"VIRGINIA, 1998","VIRGINIA, 1998","VIRGINIA, 1998","VIRGINIA, 1998",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
STATE OF VIRGINIA,"92,004","64,958","21,852","5,194","94,114","66,872","21,868","5,374",13.9,12.9,16.5,23.1,60.7,57.2,68.9,84.7
PLANNING DISTRICT 1,906,886,16,4,"1,102","1,081",17,4,12.4,12.4,13.3,13.7,61.2,61.1,76.8,53.6
LEE COUNTY,128,127,1,,252,251,1,,10.5,10.5,11.3,,51.9,52.1,51.5,
SCOTT COUNTY,,,,,246,242,4,,10.9,10.8,28.3,,56.8,56.2,187.6,
WISE COUNTY,217,211,4,2,559,548,9,2,14.7,14.7,12.1,11.8,70.5,70.4,86.7,51.0
NORTON CITY,561,548,11,2,45,40,3,2,11.2,11.0,9.9,36.9,50.4,50.1,39.1,116.4
PLANNING DISTRICT 2,536,530,3,3,"1,222","1,201",11,10,10.5,10.5,6.7,22.5,49.2,49.2,33.8,98.9
BUCHANAN COUNTY,,,,,281,279,,2,9.8,9.8,,19.1,42.3,42.2,,92.5
DICKENSON COUNTY,,,,,176,176,,,10.6,10.6,,,50.5,50.7,,
RUSSELL COUNTY,1,1,,,293,292,1,,10.8,10.9,3.4,,50.3,50.6,22.3,
TAZEWELL COUNTY,535,529,3,3,472,454,10,8,10.8,10.8,8.4,27.4,53.3,53.2,39.3,111.5
PLANNING DISTRICT 3,"1,736","1,698",30,8,"1,924","1,856",53,15,10.8,10.8,11.2,26.1,55.2,55.1,52.5,93.5
BLAND COUNTY,2,2,,,50,50,,,7.6,7.9,,,42.6,42.9,,
CARROLL COUNTY,,,,,254,252,,2,9.7,9.7,,25.7,51.9,52.1,,77.3
GRAYSON COUNTY,,,,,151,146,5,,9.4,9.4,10.7,,50.6,50.6,55.1,
SMYTH COUNTY,288,283,4,1,351,347,4,,10.5,10.7,5.2,,52.6,53.7,21.2,
WASHINGTON COUNTY,800,792,7,1,538,528,6,4,11.8,11.8,9.6,42.8,59.5,59.3,49.1,134.5
WYTHE COUNTY,227,218,8,1,276,266,9,1,10.9,10.9,10.1,9.2,52.3,53.1,38.1,31.3
BRISTOL CITY,,,,,188,166,19,3,10.4,9.9,17.9,28.9,53.5,50.7,89.3,110.5
GALAX CITY,419,403,11,5,116,101,10,5,17.2,16.2,19.6,166.0,91.8,88.6,86.9,627.2
PLANNING DISTRICT 4,"1,567","1,449",67,51,"1,687","1,565",75,47,10.7,10.7,10.3,11.0,42.4,42.9,39.4,35.0
FLOYD COUNTY,5,5,,,146,143,3,,11.8,11.8,12.1,,62.5,62.7,63.0,
GILES COUNTY,6,6,,,208,206,1,1,12.9,13.0,3.6,32.1,68.4,68.8,23.5,227.0
