Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,,,,,
,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,,"VIRGINIA, 2002","VIRGINIA, 2002","VIRGINIA, 2002",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
