,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,"VIRGINIA, 1999","VIRGINIA, 1999","VIRGINIA, 1999","VIRGINIA, 1999",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
"COMMONWEALTH OF VIRGINIA 93,289","COMMONWEALTH OF VIRGINIA 93,289","65,424","21,981","5,884","95,207","67,103","21,987","6,117",13.9,12.8,16.4,25.8,61.3,57.3,69.1,95.3
PLANNING DISTRICT 1,858,844,6,8,"1,013",999,6,8,11.5,11.5,4.7,27.4,57.2,57.3,27.5,109.6
LEE COUNTY,129,128,,1,236,233,,3,9.9,9.8,,66.7,49.2,48.9,,218.8
SCOTT COUNTY,1,1,,,233,233,,,10.4,10.5,,,54.7,55.0,,
WISE COUNTY,214,212,1,1,485,479,2,4,12.8,12.9,2.7,23.5,62.3,62.6,19.7,104.1
NORTON CITY,514,503,5,6,59,54,4,1,14.8,14.9,13.0,18.2,67.1,68.9,51.5,57.6
PLANNING DISTRICT 2,546,542,2,2,"1,248","1,227",17,4,10.8,10.9,10.4,9.1,51.3,51.3,52.5,40.4
BUCHANAN COUNTY,,,,,270,268,,2,9.5,9.5,,19.1,41.5,41.4,,101.8
DICKENSON COUNTY,1,1,,,162,162,,,9.8,9.8,,,47.3,47.5,,
RUSSELL COUNTY,,,,,327,324,3,,12.1,12.2,10.2,,57.1,57.1,66.9,
TAZEWELL COUNTY,545,541,2,2,489,473,14,2,11.3,11.3,11.8,6.9,56.4,56.7,55.1,27.9
PLANNING DISTRICT 3,"1,806","1,772",28,6,"2,080","2,029",46,5,11.7,11.8,9.7,8.7,60.5,61.1,45.7,31.1
BLAND COUNTY,2,2,,,64,64,,,9.7,10.1,,,55.1,55.5,,
CARROLL COUNTY,2,2,,,288,285,1,2,11.0,11.0,6.0,25.7,59.9,60.0,27.1,73.7
GRAYSON COUNTY,,,,,184,180,4,,11.5,11.6,8.7,,62.7,63.4,45.5,
SMYTH COUNTY,317,310,5,2,365,358,5,2,10.9,11.0,6.4,16.6,55.2,56.0,26.2,67.9
WASHINGTON COUNTY,776,769,6,1,501,495,6,,11.0,11.1,9.7,,56.3,56.6,49.7,
WYTHE COUNTY,278,267,10,1,340,329,10,1,13.4,13.5,11.2,9.2,64.9,66.2,42.1,31.1
BRISTOL CITY,,,,,221,204,17,,12.3,12.2,16.0,,64.1,63.5,81.6,
GALAX CITY,431,422,7,2,117,114,3,,17.3,18.4,5.8,,93.7,101.4,25.7,
PLANNING DISTRICT 4,"1,684","1,565",59,60,"1,698","1,572",63,63,10.7,10.7,8.5,14.5,42.9,43.3,32.9,46.2
FLOYD COUNTY,4,4,,,152,150,2,,12.2,12.4,8.2,,65.5,66.2,42.7,
GILES COUNTY,5,5,,,203,195,5,3,12.6,12.3,18.0,96.2,67.8,66.1,125.4,727.3
