,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,,"VIRGINIA, 1996","VIRGINIA, 1996","VIRGINIA, 1996",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
STATE OF VIRGINIA,"90,160","64,892","20,701","4,567","92,115","66,559","20,749","4,807",13.9,13.0,16.0,21.5,59.5,56.9,65.6,77.6
PLANNING DISTRICT 1,841,826,11,4,988,968,14,6,11.1,11.0,11.0,20.6,53.2,53.0,61.0,77.6
LEE COUNTY,141,141,,,248,246,1,1,10.3,10.3,11.0,21.3,50.0,49.9,51.5,68.6
SCOTT COUNTY,,,,,213,211,1,1,9.4,9.4,7.0,45.2,47.7,47.5,41.9,242.9
WISE COUNTY,222,216,4,2,470,458,8,4,12.2,12.2,10.8,23.5,57.2,56.8,73.0,96.5
NORTON CITY,478,469,7,2,57,53,4,,14.0,14.3,13.6,,61.9,64.1,52.1,
PLANNING DISTRICT 2,665,659,4,2,"1,260","1,236",20,4,10.7,10.7,12.1,8.8,48.9,48.8,60.4,38.8
BUCHANAN COUNTY,2,2,,,287,286,1,,9.8,9.8,9.5,,41.5,41.6,82.9,
DICKENSON COUNTY,1,1,,,157,157,,,9.3,9.3,,,43.5,43.7,,
RUSSELL COUNTY,79,78,1,,313,312,1,,11.4,11.5,3.3,,52.0,52.3,21.0,
TAZEWELL COUNTY,583,578,3,2,503,481,18,4,11.4,11.3,15.1,13.6,54.4,54.0,70.6,55.6
PLANNING DISTRICT 3,"1,720","1,672",35,13,"1,920","1,859",50,11,10.8,10.8,10.6,19.3,53.6,53.7,48.8,68.3
BLAND COUNTY,3,3,,,63,62,1,,9.6,9.8,3.9,,52.6,52.2,116.7,
CARROLL COUNTY,2,2,,,284,281,1,2,10.8,10.8,6.2,26.5,56.1,56.2,31.6,85.7
GRAYSON COUNTY,1,1,,,172,166,6,,10.7,10.6,12.5,,55.7,55.6,61.1,
SMYTH COUNTY,282,278,3,1,342,337,4,1,10.3,10.5,5.4,8.8,50.4,51.3,21.4,34.6
WASHINGTON COUNTY,744,732,8,4,423,414,5,4,9.3,9.2,7.8,41.8,45.2,45.0,38.6,127.0
WYTHE COUNTY,259,243,14,2,301,286,14,1,11.8,11.7,15.7,9.2,56.0,56.0,59.5,31.4
BRISTOL CITY,,,,,230,214,16,,12.7,12.6,15.1,,63.2,63.2,71.9,
GALAX CITY,429,413,10,6,105,99,3,3,15.6,15.9,6.1,103.0,81.4,84.6,26.7,385.7
PLANNING DISTRICT 4,"1,478","1,374",56,48,"1,615","1,504",61,50,10.3,10.3,8.5,12.3,40.2,40.7,32.5,38.5
FLOYD COUNTY,6,6,,,129,129,,,10.5,10.8,,,54.5,55.8,,
GILES COUNTY,3,3,,,184,182,2,,11.3,11.4,7.2,,58.6,58.9,44.1,
