,,,,TABLE 1,TABLE 1,,,,,,,
TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,
"WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION",,
,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,
,,,,"VIRGINIA, 2007","VIRGINIA, 2007",,,,,,,
PLANNING DISTRICT,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,"RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
COMMONWEALTH OF VIRGINIA,"107,261","71,701","23,904","11,656","108,417","73,003","23,708","11,706",14.1,12.8,15.0,27.2
PLANNING DISTRICT 1,741,723,11,7,"1,015",994,12,9,11.1,11.3,3.7,16.6
